harvested,maturity
3.536056283,56.45860687
3.575898796,53.4651027
4.639775322,56.94640003
4.118949319,58.68170737
4.902287951,58.84252558
4.761868731,59.37242099
4.961969845,60.37314614
3.597525756,61.50909118
5.568272963,62.25655979
3.828667695,62.70896072
4.049945668,60.65861808
4.243906823,60.509585
4.40586918,62.37532296
2.983838217,64.4779573
4.705060288,66.64644287
3.373028762,68.34582461
3.525708843,70.36517468
3.450333368,73.04192964
0,75.86152158
0,77.90983431
0,79.99263956
0,81.25290164
0,81.90446459
0,81.98576533
0,82.42187392
0,83.02296944
0,83.30570879
0,83.79086325
0,
