Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, Eco1036, 22976, 7713.33556754875, 255.030422761845, 151.149242688022, 749.537038649025, 0, 
5, Eco1064, 31400, 9322.75184713376, 315.452589936481, 194.77, 915.694681528662, 0, 
5, Eco1072, 24468, 9654.14852051659, 327.125961778979, 201.057462808566, 961.47417034494, 0, 
5, Eco1078, 43371, 10122.8374951004, 329.104658784614, 188.269834682161, 994.194138940767, 0, 
5, Eco1083, 29065, 10378.6055393084, 335.347471310679, 186.537760192672, 1027.24668845691, 0, 
5, Eco1090, 17774, 10670.4618543941, 349.355015881069, 196.674805896253, 1061.3063463486, 0, 
5, Eco1102, 28203, 11056.0358472503, 351.73052196786, 192.957557706627, 1113.85327802007, 0, 
5, Eco1133, 32205, 11672.5593851886, 383.045595214245, 209.448191274647, 1177.41726439994, 0, 
5, Eco1226, 23275, 14275.0556820623, 489.065274153468, 277.275016111708, 1553.91523093448, 0, 
5, Eco1441, 19294, 17272.8256971079, 588.489212926235, 338.269099201824, 2043.26873639473, 0, 
5, Eco2036, 20223, 8035.37427681353, 249.855243021395, 145.193739801216, 763.742372546111, 0, 
5, Eco2064, 44285, 9646.06510105002, 311.112045437679, 194.183312634075, 921.650468555944, 0, 
5, Eco2072, 19716, 10030.7524852911, 313.077266866445, 185.009890444309, 975.538496652465, 0, 
5, Eco2078, 29673, 10349.8595019041, 320.783866940673, 188.647794291106, 1009.19175681596, 0, 
5, Eco2083, 40707, 10742.1830152062, 320.822730395551, 185.320952170388, 1013.50190384946, 0, 
5, Eco2090, 19188, 10969.8118094642, 336.704278420243, 198.170471127788, 1082.76229935376, 0, 
5, Eco2102, 26949, 11584.0630079038, 336.243954525607, 183.769713161898, 1115.60714683291, 0, 
5, Eco2133, 29721, 12056.3688974126, 371.153398398765, 206.17105750143, 1179.98112445745, 0, 
5, Eco2226, 18597, 15061.4893262354, 495.691905948225, 292.270957681346, 1685.4705597677, 0, 
5, Eco2441, 21704, 17832.8001290085, 601.699635357736, 347.664900479174, 2131.20199041651, 0, 
5, Eco3036, 44627, 8563.38106975598, 273.825963254002, 145.05949313196, 816.951038608914, 0, 
5, Eco3064, 49056, 10392.5746697652, 327.847650347549, 172.70643754077, 964.762842465753, 0, 
5, Eco3072, 78331, 10711.6370147196, 338.441131428678, 181.110109662841, 998.812232704804, 0, 
5, Eco3078, 18625, 10911.0866577181, 345.051098369128, 178.120805369128, 1010.92853691275, 0, 
5, Eco3083, 29143, 10929.8623340082, 350.681601041701, 183.002813711697, 1045.37357169818, 0, 
5, Eco3090, 21037, 11179.6724342825, 362.186445075206, 187.003042258877, 1095.34529638256, 0, 
5, Eco3102, 15890, 11155.2134675897, 358.373980112024, 184.518816865953, 1097.63983637508, 0, 
5, Eco3133, 13632, 11975.1434125587, 393.943701597293, 201.676203051643, 1157.30655809859, 0, 
5, Eco3226, 16171, 13898.6697792344, 482.249316856403, 255.160534289778, 1471.08774967534, 0, 
5, Eco3441, 19879, 16394.0385331254, 582.600983707009, 319.622667136174, 1890.27073796469, 0, 
5, Eco4036, 172, 7002.36627906977, 216.529730093571, 128.046511627907, 694.959302325581, 0, 
5, Eco4064, 5858, 9200.66951177876, 282.658988288674, 176.59491293957, 906.579037214066, 0, 
5, Eco4072, 1440, 9544.40208333333, 283.88610942673, 164.192361111111, 934.511805555556, 0, 
5, Eco4078, 8585, 10233.2274898078, 287.359140266387, 163.800698893419, 958.632615026209, 0, 
5, Eco4083, 5379, 10560.1316229782, 292.291638329209, 169.381111730805, 1011.83770217513, 0, 
5, Eco4090, 8814, 10903.840367597, 294.802208924808, 163.496936691627, 1041.21352393919, 0, 
5, Eco4102, 1170, 11477.5085470085, 314.205859731311, 174.567521367521, 1113.75641025641, 0, 
5, Eco4133, 1827, 12427.2375478927, 326.790344755603, 179.510673234811, 1176.91625615764, 0, 
5, Eco4226, 1350, 14529.4881481481, 443.789484981981, 253.625185185185, 1558.98074074074, 0, 
5, Eco4441, 1535, 17901.8208469055, 563.752314240154, 343.479478827362, 2234.60195439739, 0, 
5, Eco5036, 5365, 7992.04082013048, 245.245277713368, 129.770363466915, 801.527679403541, 0, 
5, Eco5064, 17414, 9665.31359825428, 303.397407048613, 172.970770644309, 916.132939014586, 0, 
5, Eco5072, 22086, 10090.6651272299, 305.906103075889, 164.350267137553, 968.31531286788, 0, 
5, Eco5078, 5818, 10031.7287727741, 315.135880656406, 163.44276383637, 1004.45840495015, 0, 
5, Eco5083, 16741, 10466.8739621289, 324.58813236118, 175.503016546204, 978.593632399498, 0, 
5, Eco5090, 9068, 10623.670379356, 332.641768237077, 172.134428760476, 1077.72496691663, 0, 
5, Eco5102, 6144, 10787.1300455729, 341.700344759469, 178.105305989583, 1054.83919270833, 0, 
5, Eco5133, 6362, 11473.6207167557, 373.281734585762, 199.082835586294, 1095.75275070732, 0, 
5, Eco5226, 9544, 13479.4011944677, 457.037698682732, 244.132753562448, 1446.54515926236, 0, 
5, Eco5441, 12230, 16516.1215044971, 567.212364832661, 313.207277187244, 1884.96573998365, 0, 
5, Eco6036, 1953, 7620.7071172555, 243.416440568319, 137.880184331797, 706.342549923195, 0, 
5, Eco6064, 19530, 9012.77818740399, 317.504170599847, 206.66420890937, 873.209472606247, 0, 
5, Eco6072, 3503, 9849.96745646589, 311.424608020118, 179.739651727091, 931.598629745932, 0, 
5, Eco6078, 14236, 10389.2779572914, 314.839563872602, 177.436428772127, 947.437482438887, 0, 
5, Eco6083, 15891, 10696.6318670946, 314.819774177018, 177.783273551067, 968.135296708829, 0, 
5, Eco6090, 11750, 10673.9990638298, 339.5826461849, 199.451914893617, 1039.35404255319, 0, 
5, Eco6102, 3467, 11523.7701182579, 327.516792265816, 175.84222670897, 1045.34554369772, 0, 
5, Eco6133, 3842, 12055.0158771473, 365.507415347421, 201.255856324831, 1164.45028630921, 0, 
5, Eco6226, 3656, 15624.3670678337, 505.018348432588, 301.580415754923, 1807.97237417943, 0, 
5, Eco6441, 4316, 18285.7323911029, 607.622172181026, 365.207831325301, 2263.24953660797, 0, 
5, Eco7036, 1102, 7870.86751361162, 247.784753549621, 128.437386569873, 768.102540834846, 0, 
5, Eco7064, 1986, 8873.8247734139, 301.449351061768, 171.322759315206, 874.401309164149, 0, 
5, Eco7072, 753, 9654.50996015936, 315.838716119004, 168.958831341301, 983.565737051793, 0, 
5, Eco7078, 1858, 9822.44241119483, 324.045851104168, 171.604951560818, 1043.3105489774, 0, 
5, Eco7083, 5910, 10131.9524534687, 339.541819158688, 188.507952622673, 1048.88155668359, 0, 
5, Eco7090, 3331, 10414.8027619334, 346.770393264316, 184.600720504353, 1068.66076253377, 0, 
5, Eco7102, 1901, 10625.9826407154, 355.089844984441, 189.988427143609, 1132.60021041557, 0, 
5, Eco7133, 630, 10820.3873015873, 386.077376483761, 205.419047619048, 1089.31746031746, 0, 
5, Eco7226, 2045, 12994.0205378973, 471.67012334522, 251.767726161369, 1384.82787286064, 0, 
5, Eco7441, 4476, 18013.3337801609, 630.884136104421, 366.978775692583, 2219.88672922252, 0, 
5, Eco8036, 17977, 8286.82032597208, 279.300399094515, 188.403849363075, 785.917895088168, 0, 
5, Eco8064, 10918, 10151.5969957868, 330.750255208369, 218.091500274776, 972.220370031141, 0, 
5, Eco8072, 8063, 10275.5058911075, 342.566486865068, 219.182066228451, 1004.97742775642, 0, 
5, Eco8078, 13638, 11024.6163660361, 350.553647977267, 208.288238744684, 1074.50249303417, 0, 
5, Eco8083, 7632, 11109.3570492662, 356.174270389043, 207.401467505241, 1126.92269392034, 0, 
5, Eco8090, 6986, 11179.003006012, 354.247831465115, 200.394789579158, 1143.50314915545, 0, 
5, Eco8102, 26798, 11941.3926412419, 381.04997627787, 212.083774908575, 1220.65225016792, 0, 
5, Eco8133, 23312, 12822.5899107756, 420.655923105255, 236.497340425532, 1339.50120109815, 0, 
5, Eco8226, 21104, 14960.7666319181, 516.03049768288, 295.00606520091, 1617.35580932525, 0, 
5, Eco8441, 14858, 17917.0693902275, 613.750151044066, 362.956925561987, 2177.93161932965, 0, 
5, Eco9036, 1765, 8670.26685552408, 266.846630037677, 152.441359773371, 858.390368271955, 0, 
5, Eco9064, 1412, 10358.585694051, 320.750742234294, 184.335694050991, 1051.45892351275, 0, 
5, Eco9072, 987, 11312.4387031408, 327.748005434129, 181.801418439716, 1157.56028368794, 0, 
5, Eco9078, 1527, 11200.3811394892, 342.575356591204, 194.88867059594, 1161.65684348396, 0, 
5, Eco9083, 1367, 11924.0972933431, 356.723558986452, 210.484272128749, 1287.33065106072, 0, 
5, Eco9090, 502, 11387.4322709163, 370.866295211658, 214.219123505976, 1197.72908366534, 0, 
5, Eco9102, 3213, 12466.02054155, 371.012214823821, 212.786181139122, 1284.45284780579, 0, 
5, Eco9133, 4533, 13137.544010589, 402.35521772241, 230.566732848004, 1352.91352305317, 0, 
5, Eco9226, 1082, 15713.9242144177, 525.028423789394, 311.729205175601, 1804.51478743068, 0, 
5, Eco9441, 1896, 18800.973628692, 610.771540889607, 354.310654008439, 2359.29483122363, 0, 
10, Eco1036, 22976, 8885.61377089136, 238.309090239295, 158.142757660167, 693.082477367688, 0, 
10, Eco1064, 31400, 10677.9885987261, 281.380692624392, 200.859904458599, 845.021496815287, 0, 
10, Eco1072, 24468, 11001.1600866438, 289.662557495082, 206.36014386137, 884.591834232467, 0, 
10, Eco1078, 43371, 11661.1296257868, 297.882079225989, 194.521938622582, 922.060916280464, 0, 
10, Eco1083, 29065, 11970.8967486668, 301.472690191406, 192.166592121108, 951.245071391708, 0, 
10, Eco1090, 17774, 12284.4011477439, 314.717010746223, 202.565770226173, 980.847923933836, 0, 
10, Eco1102, 28203, 12774.0330815871, 318.153533901464, 198.841506222742, 1034.36712406482, 0, 
10, Eco1133, 32205, 13573.6641825803, 349.695075238311, 216.295202608291, 1103.5930445583, 0, 
10, Eco1226, 23275, 16552.307755102, 447.82211513713, 286.452287862513, 1481.02577873255, 0, 
10, Eco1441, 19294, 19926.7078366332, 548.904921227581, 356.205348813103, 1951.02684772468, 0, 
10, Eco2036, 20223, 9339.81323245809, 247.015678539048, 155.304949809623, 695.641101715868, 0, 
10, Eco2064, 44285, 11180.9930450491, 296.26023324143, 205.408874336683, 846.1802416168, 0, 
10, Eco2072, 19716, 11629.075674579, 303.735063793344, 196.142371677825, 890.817863664029, 0, 
10, Eco2078, 29673, 12019.9196576012, 312.448821632021, 200.58039294982, 919.104809085701, 0, 
10, Eco2083, 40707, 12476.8706610657, 311.208171786535, 196.364605596089, 923.540373891468, 0, 
10, Eco2090, 19188, 12726.8745570148, 326.158910427394, 209.716489472587, 986.143110277257, 0, 
10, Eco2102, 26949, 13533.5414672159, 330.117850022874, 194.662176704145, 1017.20082377825, 0, 
10, Eco2133, 29721, 14143.9507418997, 363.510391683616, 218.200195148212, 1089.17893072238, 0, 
10, Eco2226, 18597, 17465.0656557509, 466.881498009015, 305.614185083616, 1585.52051406141, 0, 
10, Eco2441, 21704, 20652.5656100258, 615.62539541043, 377.628363435311, 2035.97055842241, 0, 
10, Eco3036, 44627, 9988.93602527618, 287.410740360919, 163.783606336971, 728.559571559818, 0, 
10, Eco3064, 49056, 12151.7846746575, 342.237813647181, 193.946510110894, 861.689375407697, 0, 
10, Eco3072, 78331, 12550.3889264787, 352.889397154539, 203.350818960565, 899.176941440809, 0, 
10, Eco3078, 18625, 12870.1196241611, 362.253906011512, 200.83511409396, 913.528912751678, 0, 
10, Eco3083, 29143, 12854.0171910922, 366.869903393104, 205.498061284013, 940.651991902001, 0, 
10, Eco3090, 21037, 13176.2214669392, 377.549370783861, 209.440319437182, 998.65551171745, 0, 
10, Eco3102, 15890, 13184.6604153556, 376.564798355815, 206.236375078666, 1003.5281938326, 0, 
10, Eco3133, 13632, 14211.9829812207, 412.033963385478, 224.997505868545, 1069.2450850939, 0, 
10, Eco3226, 16171, 16458.6908663657, 502.295957356543, 278.26782511904, 1392.8350751345, 0, 
10, Eco3441, 19879, 19215.4863926757, 608.789892917739, 346.73308516525, 1827.575028925, 0, 
10, Eco4036, 172, 8214.61627906977, 217.797490617498, 137.005813953488, 639.31976744186, 0, 
10, Eco4064, 5858, 10621.5356777057, 274.99609421995, 187.775862068966, 837.578695800615, 0, 
10, Eco4072, 1440, 11086.6513888889, 278.029041603781, 174.115277777778, 864.130555555556, 0, 
10, Eco4078, 8585, 11808.3657542225, 279.876557196619, 172.889924286546, 873.858008153757, 0, 
10, Eco4083, 5379, 12140.2044989775, 286.29811547099, 179.428704220115, 923.147796988288, 0, 
10, Eco4090, 8814, 12540.7792148854, 288.453732328692, 172.427388245972, 947.476401179941, 0, 
10, Eco4102, 1170, 13291.7923076923, 299.702130143338, 180.178632478632, 1020.2452991453, 0, 
10, Eco4133, 1827, 14357.9113300493, 317.038869229784, 187.342090859332, 1069.89600437876, 0, 
10, Eco4226, 1350, 16840.817037037, 429.62750876237, 266.60962962963, 1456.98592592593, 0, 
10, Eco4441, 1535, 20566.3706840391, 555.169759404544, 359.580456026059, 2106.99609120521, 0, 
10, Eco5036, 5365, 9473.33867660764, 260.321096817102, 147.95246971109, 719.395526561044, 0, 
10, Eco5064, 17414, 11272.7667968301, 308.765488298716, 192.902205122315, 817.910589181119, 0, 
10, Eco5072, 22086, 11790.8213800598, 309.262510781294, 182.050665580005, 862.520239065471, 0, 
10, Eco5078, 5818, 11890.2827432107, 321.183416972329, 182.503781368168, 914.724991405981, 0, 
10, Eco5083, 16741, 12336.5852099636, 330.864791881489, 196.227405770265, 883.692431754375, 0, 
10, Eco5090, 9068, 12636.7293780326, 337.75025197357, 192.111380679312, 982.928870754301, 0, 
10, Eco5102, 6144, 12793.4241536458, 348.045207191284, 199.055989583333, 967.74365234375, 0, 
10, Eco5133, 6362, 13598.0051870481, 380.514438222254, 221.174944985854, 1011.1507387614, 0, 
10, Eco5226, 9544, 16039.7085079631, 464.965807159681, 265.904756915339, 1360.28845347863, 0, 
10, Eco5441, 12230, 19348.0590351594, 587.710318795232, 339.591332788226, 1799.04619787408, 0, 
10, Eco6036, 1953, 8888.68561187916, 232.133142189896, 143.645161290323, 653.360983102919, 0, 
10, Eco6064, 19530, 10455.1503328213, 276.809743896435, 210.858986175115, 809.740348182284, 0, 
10, Eco6072, 3503, 11388.5264059378, 284.885432171643, 184.972023979446, 861.337996003426, 0, 
10, Eco6078, 14236, 12007.0254284911, 289.669606268907, 181.922801348693, 868.385431300927, 0, 
10, Eco6083, 15891, 12349.8482789, 288.921677955398, 182.12120067963, 886.181297589831, 0, 
10, Eco6090, 11750, 12342.0401702128, 309.36035488247, 205.01685106383, 957.044680851064, 0, 
10, Eco6102, 3467, 13392.2160369195, 303.215352651353, 179.121719065474, 956.464666858956, 0, 
10, Eco6133, 3842, 14085.9385736596, 339.766756359686, 206.744664237376, 1072.54008328995, 0, 
10, Eco6226, 3656, 17924.7193654267, 442.901172276502, 305.766958424508, 1691.63156455142, 0, 
10, Eco6441, 4316, 20921.8616774791, 533.674499072191, 373.768767377201, 2135.77873030584, 0, 
10, Eco7036, 1102, 9196.69600725953, 247.415501972537, 139.740471869329, 710.34664246824, 0, 
10, Eco7064, 1986, 10411.0966767372, 283.020494893098, 183.331319234643, 823.123363544814, 0, 
10, Eco7072, 753, 11255.6055776892, 296.489915374012, 179.964143426295, 931.916334661355, 0, 
10, Eco7078, 1858, 11434.7782561895, 300.848360256569, 182.721743810549, 989.666307857912, 0, 
